degree,percentage,iterations,time_ms,exponent,i
1,0.5,1,432.933539,-0.6991104637823758,0
1,0.5,1,1419.892378,-0.7388915753495472,1
1,0.5,1,1272.464188,-0.7761676313681063,2
1,0.5,1,1601.952052,-0.756335676421356,3
1,0.5,1,1163.649338,-0.7277396330098477,4
1,0.5,1,2092.679322,-0.6419153947974807,5
1,0.5,1,2129.555882,-0.6990430532778096,6
1,0.5,1,1376.428568,-0.7209413929374756,7
1,0.5,1,1152.774383,-0.8516169654809529,8
1,0.5,1,1097.527574,-0.8208446826339272,9
1,0.1,1,3887.864527,-0.24711260330621848,0
1,0.1,1,3268.515708,-0.2537152010807191,1
1,0.1,1,2366.343054,-0.2530017113026372,2
1,0.1,1,2593.780094,-0.25761747470006,3
1,0.1,1,4301.200845,-0.26627811621233843,4
1,0.1,1,2493.064289,-0.2536442400389323,5
1,0.1,1,2924.52815,-0.2597324671061635,6
1,0.1,1,2942.224733,-0.2529246213929897,7
1,0.1,1,2109.762096,-0.24598567366224744,8
1,0.1,1,2984.740714,-0.2709141614120088,9
1,0.5,10,22512.729823,-1.0272250322786434,0
1,0.5,10,23660.894857,-1.0156892926163381,1
1,0.5,10,24054.508014,-1.0082014914026771,2
1,0.5,10,23200.192848,-1.004534640802423,3
1,0.5,10,23570.553283,-0.9856801479735467,4
1,0.5,10,23821.691617,-0.9588754763601967,5
1,0.5,10,22970.983824,-0.9725240296926335,6
1,0.5,10,22640.779693,-1.0282779734477694,7
1,0.5,10,23177.238299,-1.010516218656476,8
1,0.5,10,22696.805325,-1.0335978081703063,9
1,0.1,10,21297.561955,-0.9668983986245638,0
1,0.1,10,21962.680059,-0.9601200757671317,1
1,0.1,10,23112.4521,-0.9614522938229337,2
1,0.1,10,21199.246952,-0.9654469748476229,3
1,0.1,10,22323.457301,-0.9417143551291229,4
1,0.1,10,21439.953669,-0.9685124051974062,5
1,0.1,10,21988.458822,-0.9374174887184333,6
1,0.1,10,21872.990511,-0.8966897426336515,7
1,0.1,10,19268.84293,-0.9677726268360666,8
1,0.1,10,21275.789893,-0.9699856730147951,9
1,0.5,20,40319.169776,-0.9631416885933134,0
1,0.5,20,37781.090602,-1.0090274263432586,1
1,0.5,20,40533.69572,-0.9933343345755606,2
1,0.5,20,39425.288659,-1.016479996620561,3
1,0.5,20,40027.438834,-1.0027421092059365,4
1,0.5,20,39854.291253,-1.01676635470827,5
1,0.5,20,40389.002817,-1.003277722170263,6
1,0.5,20,37998.771105,-1.0252452984857952,7
1,0.5,20,40819.758491,-1.0098331895520416,8
1,0.5,20,39202.491161,-1.0357662060919814,9
1,0.1,20,38044.694252,-0.9654409633971078,0
1,0.1,20,35896.120142,-0.9529692789840907,1
1,0.1,20,34280.818072,-0.9577002054680125,2
1,0.1,20,36757.020961,-0.9526155827759628,3
1,0.1,20,37383.325066,-0.9333072519045392,4
1,0.1,20,36945.749616,-0.9484450549862992,5
1,0.1,20,38258.450136,-0.9208963313586687,6
1,0.1,20,36380.732893,-0.9548004393597951,7
1,0.1,20,37483.195261,-0.9474656543928056,8
1,0.1,20,37257.047122,-0.9594366503374976,9
10,0.5,1,1632.676674,-6.398609211833563,0
10,0.5,1,1189.453056,-4.452650495265356,1
10,0.5,1,1225.13416,-4.774543478506343,2
10,0.5,1,746.705165,-4.95359228060182,3
10,0.5,1,574.532267,-4.517081921178543,4
10,0.5,1,1080.672379,-4.9116913192238165,5
10,0.5,1,1123.220824,-4.617011982125188,6
10,0.5,1,779.851296,-4.305521694145329,7
10,0.5,1,1998.708883,-4.801558277364007,8
10,0.5,1,1524.781174,-4.202714694134493,9
10,0.001,1,697.16194,-0.2652790414039847,0
10,0.001,1,720.532041,-0.23902232715778202,1
10,0.001,1,538.719578,-0.22954776508837058,2
10,0.001,1,1105.903486,-0.26823327103863476,3
10,0.001,1,1240.849301,-0.2553246009777494,4
10,0.001,1,954.692274,-0.25310493367989556,5
10,0.001,1,1189.878677,-0.2588007262533527,6
10,0.001,1,557.749665,-0.24950134282872052,7
10,0.001,1,1089.705082,-0.23881368404217168,8
10,0.001,1,505.947162,-0.25026902451229605,9
10,0.5,10,23107.652104,-7.193285045146958,0
10,0.5,10,22802.652037,-7.026736616324769,1
10,0.5,10,22681.520489,-7.135539989829446,2
10,0.5,10,21263.301893,-7.162674974110669,3
10,0.5,10,22838.501646,-6.806154808212265,4
10,0.5,10,20856.249279,-7.11514900368465,5
10,0.5,10,22637.333038,-7.167017378072074,6
10,0.5,10,23102.127318,-7.135263252485228,7
10,0.5,10,22458.301676,-7.1407082091505645,8
10,0.5,10,23302.214012,-7.221375263494115,9
10,0.001,10,22434.927341,-0.8096959811418816,0
10,0.001,10,21828.12211,-0.6478396187420107,1
10,0.001,10,22086.893452,-0.8210722629121596,2
10,0.001,10,21827.344975,-0.8011709375283292,3
10,0.001,10,22127.610073,-0.6007648542711574,4
10,0.001,10,21571.35363,-0.7822979037445327,5
10,0.001,10,21961.067424,-0.9759637584112412,6
10,0.001,10,22453.849986,-0.8072747970572962,7
10,0.001,10,21544.909381,-0.8130997743235745,8
10,0.001,10,22659.162619,-0.8305862450868148,9
10,0.5,20,39048.660494,-6.796579354262414,0
10,0.5,20,40060.338972,-6.736187398832351,1
10,0.5,20,39432.609545,-6.904880566124166,2
10,0.5,20,38819.90229,-7.114986353323599,3
10,0.5,20,38882.993583,-7.004140785570115,4
10,0.5,20,37151.468645,-7.147877934734957,5
10,0.5,20,38303.595183,-7.081652759416156,6
10,0.5,20,38170.060936,-7.027840039360893,7
10,0.5,20,39015.049684,-7.1111037493122105,8
10,0.5,20,38628.038241,-7.020291061039276,9
10,0.001,20,39151.809265,-0.7998804571511655,0
10,0.001,20,38760.04643,-1.560157800359756,1
10,0.001,20,39318.121373,-1.0006349315377094,2
10,0.001,20,39041.662834,-1.8510728337673683,3
10,0.001,20,38638.704279,-1.2408541457807565,4
10,0.001,20,38032.998026,-1.0161136683289291,5
10,0.001,20,38756.283364,-1.5564563140994203,6
10,0.001,20,38747.649277,-0.7552905561022105,7
10,0.001,20,38166.907668,-1.0128050921911578,8
10,0.001,20,38434.850014,-1.2120095621183604,9
